Repo,Path,Has Docker,Docker Files,Web Ports,Has PoC,PoC Categories,PoC Files,Unittest Files,Docker Valid,Docker Message,Summary
m9rco_algorithm-php,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/m9rco_algorithm-php,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/m9rco_algorithm-php/docker-compose.yml,9000,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/m9rco_algorithm-php/SECURITY.md,,No,docker-compose not found,"<a href=""https://github.com/PuShaoWei/arithmetic-php#简易结构"">"
VcenterKit,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/VcenterKit,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/VcenterKit/VcenterKit_PyQt6.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/VcenterKit/VcenterKit.py,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/VcenterKit/utils/test_url_connection.py,No,,1. 使用说明(V 0.0.3)
xvwa,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xvwa,No,,,Yes,Header Injection; RCE; SQL Injection; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xvwa/about.html; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xvwa/vulnerabilities/php_object_injection/home.php,,No,,=========================================
kodbox,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/kodbox,No,,,Yes,Header Injection; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/kodbox/app/sdks/Html.class.php; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/kodbox/app/sdks/HtmlPurifier/HTMLPurifier/ConfigSchema/schema/Core.AllowParseManyTags.txt,,No,,"<a href=""http://kodcloud.com/"" alt=""logo"" target=""_blank""><img src=""https://raw.githubusercontent.com/kalcaddle/static/master/images/kodbox/icon_512.p"
BishopFox_h2csmuggler,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/BishopFox_h2csmuggler,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/BishopFox_h2csmuggler/docker-compose.yml,"80, 443",Yes,Header Injection; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/BishopFox_h2csmuggler/README.md,,No,docker-compose not found,![License](https://img.shields.io/badge/license-MIT-lightgrey.svg)
InfosecHouse,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/InfosecHouse,No,,,Yes,Header Injection; Header Injection; RCE; Header Injection; RCE; XXE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/InfosecHouse/data-exfiltration.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/InfosecHouse/re.md,,No,,"title: ""Infosec House"""
IPWarden,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/IPWarden,No,,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/IPWarden/img/xrayvuln.png,,No,,在开始使用之前，请务必阅读并同意[免责声明](Disclaimer.md)中的条款，否则请勿下载使用本工具。
goHackTools,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/goHackTools,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/goHackTools/SECURITY.md,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/goHackTools/vendor/github.com/google/gopacket/pcap/test_loopback.pcap; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/goHackTools/vendor/github.com/google/gopacket/pcap/test_ethernet.pcap; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/goHackTools/vendor/github.com/google/gopacket/pcap/test_dns.pcap,No,,![IMAGE](img/goHackTools.png)
igoat,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/igoat,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/igoat/server/iGoat-Server-challenges/Dockerfile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/igoat/server/docker_packaging/docker-compose.yaml,8080,Yes,RCE; XXE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/igoat/iGoat/iGoat/Assets.plist; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/igoat/iGoat/iGoat/URL Scheme/URLSchemeAttackExerciseVC.m,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/igoat/iGoat/sqlcipher/ext/session/test_session.c; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/igoat/iGoat/sqlcipher/ext/fts3/fts3_test.c; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/igoat/iGoat/sqlcipher/ext/rbu/test_rbu.c,No,docker-compose not found,Select the OWASP iGoat Version: [![Swift 4](https://img.shields.io/badge/Swift-4-blue.svg)](https://github.com/OWASP/iGoat-Swift) [![Objective C](http
Attacker-Group-Predictor,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Attacker-Group-Predictor,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Attacker-Group-Predictor/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Attacker-Group-Predictor/updater/update.py,,No,,The tool predicts attacker groups from techniques and softwares used. It searches based on the MITRE ATT&CK™ framework
SexyBeast233_SecBooks,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks,No,,,Yes,RCE; SQL Injection; SSRF; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/SUMMARY.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/README.md,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SexyBeast233_SecBooks/【文库】peiqi文库/Goby & POC/Goby & POC/Seeyon_OA_A6_test.jsp_SQL_injection.json,No,,各大文库公众号文章收集，部分文库使用gitbook部署；部分公众号使用杂散文章为主。
secguide,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/secguide,No,,,Yes,XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/secguide/Java安全指南.md,,No,,面向开发人员梳理的代码安全指南，旨在梳理API层面的风险点并提供详实可行的安全编码方案。
PingCastleCloud,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/PingCastleCloud,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/PingCastleCloud/Tokens/JwtToken.cs; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/PingCastleCloud/Tokens/JwtPayload.cs,,No,,important: the source code has been moved to the main PingCastle project.
ReflectiveDLLRefresher,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ReflectiveDLLRefresher,No,,,Yes,SQL Injection; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ReflectiveDLLRefresher/README.md,,No,,`DLLRefresher.exe` is a standalone test harness for scanning the process's memory space and unhooking the currently loaded libraries.
xxl-job-rce,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xxl-job-rce,No,,,Yes,Header Injection; RCE; SSRF; RCE; SQL Injection; SSRF; RCE; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xxl-job-rce/xxl-job-rce.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xxl-job-rce/README.md,,No,,XXL-JOB是一个分布式任务调度平台，其核心设计目标是开发迅速、学习简单、轻量级、易扩展。
frida_cryptoshark,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/frida_cryptoshark,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/frida_cryptoshark/app/agent/thread-monitor.ts,,No,,"Self-optimizing cross-platform code tracer based on dynamic recompilation,"
Archery,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Archery,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Archery/src/docker-compose/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Archery/src/docker/Dockerfile,,No,,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Archery/conftest.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Archery/sql/test_workflow.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Archery/sql/test_storage.py,No,docker-compose not found,[![Django CI](https://github.com/hhyo/Archery/actions/workflows/django.yml/badge.svg)](https://github.com/hhyo/Archery/actions/workflows/django.yml)
kost_reGeorg,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/kost_reGeorg,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/kost_reGeorg/setup.py,,No,,Fork of regeorg to include support for python2 and python3 and to have
nlp,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nlp,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nlp/code/stopwords.txt,,No,,- [常用数据集简介](常用数据集简介.md)
log4j2_vul_local_scanner,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/log4j2_vul_local_scanner,No,,,Yes,Command Injection; RCE; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/log4j2_vul_local_scanner/README.md,,No,,Log4j 漏洞本地检测脚本，扫描主机上所有java进程，检测是否引入了有漏洞的log4j-core jar包，是否可能遭到远程代码执行攻击（CVE-2021-45046）。上传扫描报告到指定的服务器。
block_goose,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/block_goose,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/block_goose/Dockerfile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/block_goose/recipe-scanner/Dockerfile,,Yes,RCE; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/block_goose/SECURITY.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/block_goose/crates/goose/src/providers/google.rs,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/block_goose/test_acp_client.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/block_goose/crates/goose-cli/src/scenario_tests/test_data/test_image.jpg; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/block_goose/crates/goose-server/src/tunnel/lapstone_test.rs,No,docker-compose not found,"_a local, extensible, open source AI agent that automates engineering tasks_"
S7scan,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/S7scan,No,,,Yes,SSRF; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/S7scan/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/S7scan/core/controller.py,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/S7scan/test/test.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/S7scan/core/scripts/test.py,No,,pip install -r requirements.txt
CVE-2020-16938,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2020-16938,No,,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2020-16938/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2020-16938/image/poc.png,,No,,`CVE-2020-16938` is a vulnerability that allows you to get unrestricted file read capabilities on the entire disk as unprivileged user. The bug was or
0xInfection_Awesome-WAF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/0xInfection_Awesome-WAF,No,,,Yes,Command Injection; RCE; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/0xInfection_Awesome-WAF/papers/Side Channel (Timing) Attacks for Fingerprinting WAF Rules.pdf; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/0xInfection_Awesome-WAF/papers/Beyond SQLi - Obfuscate and Bypass WAFs.txt,,No,,Everything about web application firewalls (WAFs) from a security perspective. 🔥
thc-hydra,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/thc-hydra,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/thc-hydra/Dockerfile,,Yes,Header Injection; RCE; Header Injection; RCE; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/thc-hydra/postgres_ext.h; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/thc-hydra/libpq-fe.h,,Yes,Has Dockerfile (untested),(c) 2001-2023 by van Hauser / THC
ShiroAndFastJson,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ShiroAndFastJson,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ShiroAndFastJson/pom.xml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ShiroAndFastJson/src/main/java/com/shiro/vuln/ShiroAndFastJsonApplication.java,,No,,fastjson包下为各版本payload复现，来自https://github.com/kezibei/fastjson_payload。
faraday,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/faraday,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/faraday/docker-compose.yaml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/faraday/Dockerfile,,Yes,RCE; RCE; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/faraday/SECURITY.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/faraday/RELEASE.md,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/faraday/tests/test_config_configuration.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/faraday/tests/test_api_scheduling.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/faraday/tests/test_api_activity_feed.py,No,docker-compose not found,![](https://img.shields.io/twitter/follow/faradaysec)
ITI_ICS-Security-Tools,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ITI_ICS-Security-Tools,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ITI_ICS-Security-Tools/SECURITY.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ITI_ICS-Security-Tools/pcaps/profinet/PROFINET-RT-DCP/_PROFINET-RT_Protocol_Description.rtf,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ITI_ICS-Security-Tools/pcaps/modicon/modicon_test.pcap; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ITI_ICS-Security-Tools/pcaps/quickdraw/modbus_test_data_part2.pcap; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ITI_ICS-Security-Tools/pcaps/quickdraw/modbus_test_data_part1.pcap,No,,Developed as a community asset
DarkAngel,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DarkAngel,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DarkAngel/vulscan/dirsearch/Dockerfile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DarkAngel/subdomain/oneforall/Dockerfile,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DarkAngel/.gitignore; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DarkAngel/THANKS.md,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DarkAngel/vulscan/tools/whatweb/test/unit/test_scan.rb; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DarkAngel/subdomain/oneforall/test.py,Yes,Has Dockerfile (untested),"<img width=500"" src=""http://www.bywalks.com/image/darkangel.png""><br><br>"
ANGRYPUPPY,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ANGRYPUPPY,No,,,Yes,RCE; RCE; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ANGRYPUPPY/com-exec.cna; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ANGRYPUPPY/ANGRYPUPPY.cna,,No,,Bloodhound Attack Path Execution for Cobalt Strike
imran-parray_Mind-Maps,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/imran-parray_Mind-Maps,No,,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/imran-parray_Mind-Maps/Common XML Attacks - Harsh Bothra/XML Attacks New.pdf; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/imran-parray_Mind-Maps/Exploting Grafana - daffainfo/Exploiting Grafana (1).xmind,,No,,"> This repository stores and houses various Mindmaps for bug bounty Hunters🧑‍🦰, pentesters🧑‍🦰 and offensive(🔴)/defensive(🔵) security Professionals🫂 pr"
GrrrDog-Java-Deserialization-Cheat-Sheet,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/GrrrDog-Java-Deserialization-Cheat-Sheet,No,,,Yes,Deserialization; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/GrrrDog-Java-Deserialization-Cheat-Sheet/README.md,,No,,A cheat sheet for pentesters and researchers about deserialization vulnerabilities in various Java (JVM) serialization libraries.
Certipy,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Certipy,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Certipy/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Certipy/certipy/commands/relay.py,,No,,[![PyPI version](https://img.shields.io/pypi/v/certipy-ad?v5.0.3)](https://pypi.org/project/certipy-ad/)
Lakr233_mobilePillowTalkLite,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Lakr233_mobilePillowTalkLite,No,,,Yes,Header Injection; RCE; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Lakr233_mobilePillowTalkLite/Foundation/CodeViewer/Sources/CodeViewer/Resources/ace.bundle/mode-edifact.js; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Lakr233_mobilePillowTalkLite/Foundation/CodeViewer/Sources/CodeViewer/Resources/ace.bundle/mode-praat.js,,No,,PillowTalk -> 枕头逼逼 -> bbtop!
simplehttpserver,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/simplehttpserver,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/simplehttpserver/Dockerfile,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/simplehttpserver/SECURITY.md,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/simplehttpserver/test/pythonliststyle_test.go,Yes,Has Dockerfile (untested),"<h4 align=""center"">Go alternative of python SimpleHTTPServer</h4>"
personal-security-checklist,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/personal-security-checklist,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/personal-security-checklist/Dockerfile,,Yes,Information Disclosure,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/personal-security-checklist/articles/4_Privacy_And_Security_Links.md,,Yes,Has Dockerfile (untested),No README found
dual-obsidian-client,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dual-obsidian-client,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dual-obsidian-client/frontend/vault-replica/dummy-notes/Optic flow modulates autonomic arousal.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dual-obsidian-client/frontend/vault-replica/dummy-notes/Stress is peak exploitation.md,,No,,Learn more by reading [the official write-up](https://paulbricman.com/thoughtware/dual).
go-d3d,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/go-d3d,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/go-d3d/readme.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/go-d3d/LICENSE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/go-d3d/outputduplication/swizzle/swizzle_test.go,No,,- Encoding an mjpeg stream [examples/mjpegstream](./examples/mjpegstream)
joplin-ctf-template,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/joplin-ctf-template,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/joplin-ctf-template/IP [hostname].jex,,No,,No README found
Camtd,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Camtd,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Camtd/app/libs/vue.js,,No,,![Xnip2018-05-05_12-40-13.jpg](https://cdn.rawgit.com/jae-jae/_resources/master/Xnip2018-05-05_12-40-13.jpg)
myscan,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/myscan,No,,,Yes,RCE; SQL Injection; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/myscan/myscan/TODO; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/myscan/myscan/lib/helper/helper_sqli.py,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/myscan/myscan/tests/es_test.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/myscan/myscan/tests/ignore_test.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/myscan/myscan/tests/codetest.py,No,,myscan是参考awvs的poc目录架构，pocsuite3、sqlmap等代码框架，以及搜集互联网上大量的poc，由python3开发而成的被动扫描工具。
WAF-Bypass,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/WAF-Bypass,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/WAF-Bypass/te-shu-chang-jing/ssrfrao-ip-xian-zhi.md,,No,,* [SQL注入](https://chybeta.gitbooks.io/waf-bypass/content/sqlzhu-ru.html)
avenger-sh,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/avenger-sh,No,,,Yes,LFI/RFI; RCE; SQL Injection; SSRF; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/avenger-sh/README.md,,No,,> PHP Avenger is a modern collection of open source tools written in PHP with focus in security and hacking.
